,Unnamed: 0,names,scores,logfoldchanges,pvals,pvals_adj,subclass,group
4164765,4164765,Kcnip4,20.95351,1.8963877,1.7429638339732599e-97,5.6271587379826684e-93,L6 CT CTX,Tbr1
4164766,4164766,Tafa1,16.464207,4.1087847,6.632726681455641e-61,1.0706879045539768e-56,L6 CT CTX,Tbr1
4164767,4164767,Pcdh15,16.166014,1.9349852,8.758481707617011e-59,9.425586064347172e-55,L6 CT CTX,Tbr1
4164768,4164768,Lrrc4c,15.896252,1.1992865,6.727152288414143e-57,5.4296527907862665e-53,L6 CT CTX,Tbr1
4197049,4197049,Pdzrn4,-15.841051,-2.381759,1.620884313807498e-56,1.0466050014255013e-52,L6 CT CTX,Tbr1
4197048,4197048,Pde1a,-15.592926,-1.1766729,8.132127973443805e-55,4.375762527043888e-51,L6 CT CTX,Tbr1
4197047,4197047,Etl4,-15.483553,-0.9345563,4.4803320967872996e-54,2.0663931677825426e-50,L6 CT CTX,Tbr1
4197046,4197046,Rbfox1,-14.922468,-0.8426055,2.3540140299989904e-50,9.499917869814676e-47,L6 CT CTX,Tbr1
4197045,4197045,Gpr158,-14.749918,-1.4378227,3.080375014340738e-49,1.1049989704221193e-45,L6 CT CTX,Tbr1
4164769,4164769,Ntm,14.448093,1.0542734,2.5772041128307507e-47,8.320503478274078e-44,L6 CT CTX,Tbr1
4197044,4197044,Sema6d,-14.134345,-1.4175366,2.3329573105800604e-45,6.847229706552478e-42,L6 CT CTX,Tbr1
4164770,4164770,Tmem108,13.793272,1.9815938,2.7977739655826782e-43,7.527177706569729e-40,L6 CT CTX,Tbr1
4197043,4197043,Dpp10,-13.434114,-0.6243501,3.816040934006923e-41,9.47699088880104e-38,L6 CT CTX,Tbr1
4197042,4197042,Ncald,-13.299787,-1.1061165,2.321308176583962e-40,5.353102462929517e-37,L6 CT CTX,Tbr1
4164771,4164771,Sorcs1,13.137581,1.2969275,2.005347409373954e-39,4.316176074109207e-36,L6 CT CTX,Tbr1
4164772,4164772,Efna5,13.127789,1.2521938,2.2822322142324597e-39,4.605116689780935e-36,L6 CT CTX,Tbr1
4164773,4164773,Zeb2,13.030656,1.1635684,8.190105067762161e-39,1.5553973065453022e-35,L6 CT CTX,Tbr1
4164774,4164774,Nav1,12.517981,2.0738554,5.953085517104161e-36,1.0677520328872656e-32,L6 CT CTX,Tbr1
4197041,4197041,Hs3st2,-12.383573,-1.5662292,3.2074053575485765e-35,5.450056945708201e-32,L6 CT CTX,Tbr1
4197040,4197040,Garnl3,-12.299786,-0.8330105,9.081537440580791e-35,1.4532717471959636e-31,L6 CT CTX,Tbr1
4164775,4164775,Slit3,12.296547,1.2056038,9.452905897821041e-35,1.4532717471959636e-31,L6 CT CTX,Tbr1
4164776,4164776,Cdh8,12.178013,1.5944878,4.070791799327471e-34,5.973886965513064e-31,L6 CT CTX,Tbr1
4164777,4164777,Ppm1e,11.891351,0.8297531,1.3126644569626522e-32,1.842581391001706e-29,L6 CT CTX,Tbr1
4164778,4164778,Ptprn2,11.605478,0.58071405,3.865212534551537e-31,5.199516111583182e-28,L6 CT CTX,Tbr1
4197039,4197039,Ankrd33b,-11.581708,-1.1871161,5.10192535492339e-31,6.588626403348065e-28,L6 CT CTX,Tbr1
4164779,4164779,Sorl1,11.499816,0.9831454,1.3219721825616334e-30,1.641533535153936e-27,L6 CT CTX,Tbr1
4197038,4197038,Slc35f3,-11.374332,-1.0417478,5.6130975320951084e-30,6.711809400877429e-27,L6 CT CTX,Tbr1
4164780,4164780,Dpp6,11.353326,1.2347937,7.139433428123271e-30,8.232021722391422e-27,L6 CT CTX,Tbr1
4197037,4197037,Cadps2,-11.291176,-1.2570281,1.4508199259570352e-29,1.615162803776651e-26,L6 CT CTX,Tbr1
4197036,4197036,Thsd7b,-11.076456,-1.2357345,1.6320557677268406e-28,1.7563640153687018e-25,L6 CT CTX,Tbr1
4164781,4164781,Stxbp6,11.011542,4.005428,3.361984032992493e-28,3.501343693714924e-25,L6 CT CTX,Tbr1
4164782,4164782,St6galnac3,10.907538,1.2317796,1.0609018028773846e-27,1.0703504595592614e-24,L6 CT CTX,Tbr1
4197035,4197035,Dkk3,-10.767445,-1.345908,4.90421669897649e-27,4.7979586704986656e-24,L6 CT CTX,Tbr1
4164783,4164783,Il1rapl1,10.747149,0.45793685,6.112122644734979e-27,5.8038199878020235e-24,L6 CT CTX,Tbr1
4164784,4164784,Robo1,10.63596,1.0854977,2.0273117313253314e-26,1.8700502641668093e-23,L6 CT CTX,Tbr1
